episode,reward,score,steps,epsilon,loss
2583,-8.3125,0,47,0.3103,0.003798
2584,-9.005,0,36,0.3098,0.007225
2585,-8.5275,0,47,0.3091,0.004763
2586,-9.67,0,46,0.3083,0.004014
2587,-8.7008,0,41,0.3077,0.0047
2588,-9.75,0,47,0.307,0.007801
2589,-9.6817,0,47,0.3063,0.004482
2590,-8.7342,0,47,0.3056,0.004682
2591,-8.6858,0,47,0.3048,0.001842
2592,-8.0692,0,47,0.3041,0.004133
2593,-9.68,0,46,0.3034,0.004217
2594,-9.66,0,46,0.3027,0.002937
2595,-9.6108,0,46,0.302,0.004719
2596,-9.78,0,47,0.3013,0.003433
2597,-8.8367,0,38,0.3007,0.008414
2598,-9.77,0,47,0.3,0.002915
2599,-9.67,0,45,0.2994,0.002165
2600,-8.3583,0,47,0.2987,0.003169
2601,-9.7025,0,47,0.298,0.005599
2602,-8.73,0,41,0.2974,0.003966
2603,-7.3325,0,47,0.2967,0.005548
2604,-8.8192,0,39,0.2961,0.003561
2605,-8.6733,0,47,0.2954,0.00449
2606,-9.7,0,45,0.2947,0.006851
2607,-9.63,0,47,0.294,0.003609
2608,-8.7875,0,40,0.2934,0.004422
2609,-8.4308,0,46,0.2928,0.003616
2610,-9.5825,0,47,0.2921,0.002737
2611,-8.1067,0,47,0.2914,0.003705
2612,-9.72,0,47,0.2907,0.003936
2613,-9.61,0,47,0.29,0.003775
2614,-9.7,0,44,0.2894,0.002968
2615,-7.8267,0,47,0.2887,0.004324
2616,-9.67,0,47,0.288,0.006096
2617,-9.4225,0,47,0.2874,0.005166
2618,-8.24,0,47,0.2867,0.006133
2619,-9.3425,0,47,0.286,0.004599
2620,-9.72,0,47,0.2853,0.004355
